author_name,author_id,citations,paper_count,h_index,institution
chuanqi tan,2111727840,2871,68,25,
lei li,120975273,33,1,1,
xiangning chen,2150931823,458,21,11,
huajun chen,49178307,1748,79,23,
shumin deng,152931849,1763,68,25,
fei huang,2087380523,1287,48,21,
ningyu zhang,2608639,1974,78,26,
luo si,2059080424,3111,116,33,
changliang xu,2115472815,91,6,4,
yueqi xie,2154871075,148,12,6,
peilin zhou,1800462890,149,17,7,
sunghun kim,2118021155,177,12,6,
enhong chen,2227868312,17237,546,64,
binbin jin,6594353,208,15,8,
yan zhuang,2075333635,17,6,2,
zhi li,2118214458,386,27,9,
qi liu,50384171,10774,920,47,
zhenya huang,3374015,1915,96,23,
haoyang bi,2046878950,46,6,2,
shijin wang,2144180493,573,32,11,
nicholas lim,2067085425,89,7,3,
bryan hooi,2019961,3217,155,29,
yong liang goh,1995261298,89,7,3,
renrong weng,49361860,86,5,3,
see-kiong ng,1794527,5034,200,36,
rui tan,2052819973,22,3,2,
kelong mao,1580228663,268,15,6,
zhicheng dou,1897235,3556,166,27,
hongjin qian,1972030827,131,18,6,
f. sarvi,49554487,812,76,15,
m. de rijke,1696030,28595,995,75,
maria heuss,2146531057,26,3,2,
yuxin peng,143753918,5707,182,36,
xiangteng he,153003087,751,30,12,
ming tang,50627777,1916,48,21,
yiliang lv,2075456784,70,18,4,
yulin pan,2111415984,12,6,2,
weinan zhang,2108309275,14278,289,53,
jiarui qin,79494403,530,22,11,
ruiming tang,2824766,4010,158,24,
yong yu,2156098229,217,49,7,
rui zhang,144142354,14929,1513,55,
weiwen liu,2130051800,411,23,7,
zhirong liu,47781389,189,18,8,
bo chen,2152687818,215,34,9,
jiachen zhu,2143405615,71,11,4,
xuemeng song,33977299,1868,95,24,
haokun wen,1830448435,93,8,5,
xiaojun chang,144950946,9419,213,48,
c. yeh,1752208,6321,232,38,
weili guan,15880069,634,63,13,
fangkai jiao,1689176705,87,9,5,
fuli feng,2163400298,6190,139,35,
yong liao,2114122035,44,7,4,
jinqiu jin,2164713563,5,1,1,
sihao ding,2046758017,41,9,3,
wenjie wang,2117833732,504,27,13,
yongdong zhang,2164724337,134,17,5,
xiangnan he,7792071,27066,298,74,
xiaocong chen,48283085,528,38,9,
julian mcauley,35660011,19253,252,53,
l. yao,145095579,14140,1254,54,
xianzhi wang,2107924437,625,55,10,
wanwei he,66583249,159,7,6,
min yang,2144399900,206,18,7,
yinpei dai,30087809,309,21,10,
jian sun,2152147863,397,22,12,
yongbin li,1527090216,819,76,17,
shuanghong shen,1830440271,172,13,5,
yu su,145244891,909,32,13,
yinghui li,2110503552,157,31,6,
yuxin he,2163738241,11,3,1,
ying shen,143822679,1350,104,22,
haitao zheng,16215052,4704,179,20,
y. li,98177814,11927,1193,54,
tianyu yu,47369404,31,4,3,
yuxiang zhang,2119595262,159,23,6,
hanshuang tong,6735774,175,20,7,
zhen wang,2118452539,3177,18,6,
yun zhou,2118116372,44,6,4,
jiantao zhou,2125555913,60,21,5,
jiandian zeng,8749832,279,11,6,
tianyi liu,2636832,150,14,6,
qin jin,1721329,2217,116,20,
yida zhao,50976845,353,13,6,
yuqing song,40280182,140,31,6,
chao shen,2154740036,12,5,2,
xiaoming liu,40134592,560,22,7,
zhaohan zhang,2156119744,23,11,3,
shaocong wu,2112538764,99,14,5,
xu chen,1734206,69,11,3,
jirong wen,2113341834,128,28,5,
zhenhua dong,3065080,1128,67,16,
jun xu,2150636233,220,40,8,
zhongxiang sun,2109820280,46,10,3,
hongteng xu,2146235527,249,30,5,
weijie yu,2118684861,40,6,4,
qiong liu,2165545102,9,3,2,
x. wang,39849136,13240,227,29,
jialin gao,2149257316,54,11,5,
xin sun,2109230437,187,6,2,
xiaoping zhou,50177639,54741,3182,96,
zhihong chen,2144309151,555,22,9,
rong xiao,144875143,175,37,8,
jingxu chen,2108523908,44,11,4,
j wu,7162217,1202,110,17,
binqiang zhao,14545267,1106,32,12,
chenliang li,2136338739,72,18,5,
houyi li,2175933849,7,1,1,
haihong tang,144465837,448,28,11,
zheng chai,2175276148,7,2,1,
zhongzhou zhao,41019706,279,20,8,
haiqing chen,2765043,1113,62,17,
liqiang jing,2175279662,27,11,3,
dengtian lin,2175321239,12,4,1,
liqiang nie,143982887,17494,366,58,
m. marras,28922901,682,84,15,
giacomo balloccu,2163452228,19,8,2,
g. fenu,40433308,1929,189,22,
ludovico boratto,1824224,1540,155,23,
rui zhang,2163112250,97,11,5,
yunjia xi,2056826850,67,10,6,
xilong zhao,2163050574,30,7,4,
jieming zhu,2108997533,3445,74,28,
xinyi dai,2105646417,291,21,7,
hao fei,46959445,1316,72,23,
fei li,2109530930,1014,50,19,
donghong ji,145628086,1584,126,23,
shuai zhao,2111305643,357,18,9,
xiaohan wang,2109074276,521,61,11,
yezhou yang,7607499,10524,579,47,
linchao zhu,2948393,3367,126,35,
tat-seng chua,143779329,2293,143,24,
jing ya,7172853,74,17,5,
tingwen liu,2079682,1116,100,19,
bin wang,1864982637,623,29,14,
xixun lin,46519974,234,16,8,
xin cong,2024380701,113,13,6,
jiangxia cao,2115871859,215,18,6,
tong chen,1490931831,2039,78,26,
quoc viet hung nguyen,144133815,1964,109,24,
jing long,2161605203,21,3,2,
h. yin,47064303,2127,133,27,
meng wang,2146059429,212,19,8,
yang wang,2155651371,988,51,15,
xiaohang chen,2109197810,2483,141,28,
peng wang,2155303586,99,5,3,
jiangheng wu,2145109089,5,2,1,
yong li,2154403289,489,34,11,
jie shuai,48597603,184,47,8,
richang hong,48043335,15136,295,63,
le wu,2688093,2757,103,31,
kun zhang,2119017233,667,38,15,
peijie sun,2075416674,802,21,8,
meng wang,2146058571,1400,34,15,
xin xia,2077454936,484,22,11,
junliang yu,28584977,1196,43,15,
li-zhen cui,101457473,1910,127,20,
guandong xu,2149131224,758,144,17,
qinyong wang,2108993397,1238,23,15,
nguyen quoc viet hung,1925773,2398,76,28,
yu bai,144843219,79,10,4,
heyan huang,4590286,2520,305,25,
zewen chi,46221722,876,31,13,
yang gao,145644809,340,21,11,
yi-bo zhu,2118339267,13,2,2,
kai fan,2053962725,282,28,8,
boxing chen,2229601,1237,71,20,
jiaao zhan,2160712727,7,5,2,
pengfei wang,2108237336,1078,48,15,
kaiyuan li,2158260214,166,8,2,
chenliang li,2829009,4914,155,34,
m. veloso,2058284590,927,33,4,
sameena shah,36532736,1123,75,16,
natraj raman,32319713,175,25,7,
chao huang,2110926729,392,41,10,
lianghao xia,1830455155,903,39,15,
yuhao yang,2134819645,86,23,6,
hansu gu,1759997,187,37,9,
p. zhang,47243067,18819,1865,62,
t. lu,1711569,1003,125,17,
fangye wang,2107614843,10,1,1,
dongsheng li,2108481070,818,63,17,
yingxu wang,2108810047,54,7,5,
ning gu,39341617,1520,177,20,
a. block,21590875,121,41,6,
daniel n. hill,2113373342,303,9,7,
i. dhillon,1783667,34363,324,85,
t. joachims,1680188,60034,238,75,
rahul kidambi,1891978,1058,26,14,
xue liu,2151058626,223,14,6,
fernando diaz,2164035897,65,17,5,
chen ma,74142381,823,30,12,
bhaskar mitra,2064033905,111,13,6,
haolun wu,107747459,85,17,5,
yu tian,2152949018,58,8,4,
jianxin chang,2630544,294,12,6,
yang song,2157996254,975,20,7,
yannan niu,2164092924,12,2,1,
xinyu zou,2067661395,79,7,4,
aixin sun,1735962,14281,298,54,
zhongyi liu,2145285454,46,15,4,
yiming zhao,2167265615,16,3,2,
zhi hu,2167132467,11,1,1,
x. ding,31261271,46,4,3,
z. ren,2780667,4545,146,34,
alexandros karatzoglou,1713164,11141,101,37,
xin xin,36528303,1210,192,18,
tiago pimentel,1388571351,842,63,17,
