title,author_name,author_position,author_id
Hybrid Transformer with Multi-level Fusion for Multimodal Knowledge Graph Completion,xiang chen,0,2150931823
Hybrid Transformer with Multi-level Fusion for Multimodal Knowledge Graph Completion,ningyu zhang,1,2608639
Hybrid Transformer with Multi-level Fusion for Multimodal Knowledge Graph Completion,lei li,2,120975273
Hybrid Transformer with Multi-level Fusion for Multimodal Knowledge Graph Completion,shumin deng,3,152931849
Hybrid Transformer with Multi-level Fusion for Multimodal Knowledge Graph Completion,chuanqi tan,4,2111727840
Hybrid Transformer with Multi-level Fusion for Multimodal Knowledge Graph Completion,changliang xu,5,2115472815
Hybrid Transformer with Multi-level Fusion for Multimodal Knowledge Graph Completion,fei huang,6,2087380523
Hybrid Transformer with Multi-level Fusion for Multimodal Knowledge Graph Completion,luo si,7,2059080424
Hybrid Transformer with Multi-level Fusion for Multimodal Knowledge Graph Completion,huajun chen,8,49178307
Decoupled Side Information Fusion for Sequential Recommendation,yueqi xie,0,2154871075
Decoupled Side Information Fusion for Sequential Recommendation,peilin zhou,1,1800462890
Decoupled Side Information Fusion for Sequential Recommendation,sunghun kim,2,2118021155
A Robust Computerized Adaptive Testing Approach in Educational Question Retrieval,yan zhuang,0,2075333635
A Robust Computerized Adaptive Testing Approach in Educational Question Retrieval,qi liu,1,50384171
A Robust Computerized Adaptive Testing Approach in Educational Question Retrieval,zhenya huang,2,3374015
A Robust Computerized Adaptive Testing Approach in Educational Question Retrieval,zhi li,3,2118214458
A Robust Computerized Adaptive Testing Approach in Educational Question Retrieval,binbin jin,4,6594353
A Robust Computerized Adaptive Testing Approach in Educational Question Retrieval,haoyang bi,5,2046878950
A Robust Computerized Adaptive Testing Approach in Educational Question Retrieval,enhong chen,6,2227868312
A Robust Computerized Adaptive Testing Approach in Educational Question Retrieval,shijin wang,7,2144180493
Hierarchical Multi-Task Graph Recurrent Network for Next POI Recommendation,nicholas lim,0,2067085425
Hierarchical Multi-Task Graph Recurrent Network for Next POI Recommendation,bryan hooi,1,2019961
Hierarchical Multi-Task Graph Recurrent Network for Next POI Recommendation,see-kiong ng,2,1794527
Hierarchical Multi-Task Graph Recurrent Network for Next POI Recommendation,yong liang goh,3,1995261298
Hierarchical Multi-Task Graph Recurrent Network for Next POI Recommendation,renrong weng,4,49361860
Hierarchical Multi-Task Graph Recurrent Network for Next POI Recommendation,rui tan,5,2052819973
Curriculum Contrastive Context Denoising for Few-shot Conversational Dense Retrieval,kelong mao,0,1580228663
Curriculum Contrastive Context Denoising for Few-shot Conversational Dense Retrieval,zhicheng dou,1,1897235
Curriculum Contrastive Context Denoising for Few-shot Conversational Dense Retrieval,hongjin qian,2,1972030827
Fairness of Exposure in Light of Incomplete Exposure Estimation,maria heuss,0,2146531057
Fairness of Exposure in Light of Incomplete Exposure Estimation,fatemeh sarvi,1,49554487
Fairness of Exposure in Light of Incomplete Exposure Estimation,maarten de rijke,2,1696030
Learn from Unlabeled Videos for Near-duplicate Video Retrieval,xiangteng he,0,153003087
Learn from Unlabeled Videos for Near-duplicate Video Retrieval,yulin pan,1,2111415984
Learn from Unlabeled Videos for Near-duplicate Video Retrieval,mingqian tang,2,50627777
Learn from Unlabeled Videos for Near-duplicate Video Retrieval,yiliang lv,3,2075456784
Learn from Unlabeled Videos for Near-duplicate Video Retrieval,yuxin peng,4,143753918
RankFlow: Joint Optimization of Multi-Stage Cascade Ranking Systems as Flows,jiarui qin,0,79494403
RankFlow: Joint Optimization of Multi-Stage Cascade Ranking Systems as Flows,jiachen zhu,1,2143405615
RankFlow: Joint Optimization of Multi-Stage Cascade Ranking Systems as Flows,bo chen,2,2152687818
RankFlow: Joint Optimization of Multi-Stage Cascade Ranking Systems as Flows,zhirong liu,3,47781389
RankFlow: Joint Optimization of Multi-Stage Cascade Ranking Systems as Flows,weiwen liu,4,2130051800
RankFlow: Joint Optimization of Multi-Stage Cascade Ranking Systems as Flows,ruiming tang,5,2824766
RankFlow: Joint Optimization of Multi-Stage Cascade Ranking Systems as Flows,rui zhang,6,144142354
RankFlow: Joint Optimization of Multi-Stage Cascade Ranking Systems as Flows,yong yu,7,2156098229
RankFlow: Joint Optimization of Multi-Stage Cascade Ranking Systems as Flows,weinan zhang,8,2108309275
Personalized Fashion Compatibility Modeling via Metapath-guided Heterogeneous Graph Learning,weili guan,0,15880069
Personalized Fashion Compatibility Modeling via Metapath-guided Heterogeneous Graph Learning,fangkai jiao,1,1689176705
Personalized Fashion Compatibility Modeling via Metapath-guided Heterogeneous Graph Learning,xuemeng song,2,33977299
Personalized Fashion Compatibility Modeling via Metapath-guided Heterogeneous Graph Learning,haokun wen,3,1830448435
Personalized Fashion Compatibility Modeling via Metapath-guided Heterogeneous Graph Learning,chung-hsing yeh,4,1752208
Personalized Fashion Compatibility Modeling via Metapath-guided Heterogeneous Graph Learning,xiaojun chang,5,144950946
Interpolative Distillation for Unifying Biased and DebiasedRecommendation,sihao ding,0,2046758017
Interpolative Distillation for Unifying Biased and DebiasedRecommendation,fuli feng,1,2163400298
Interpolative Distillation for Unifying Biased and DebiasedRecommendation,xiangnan he,2,7792071
Interpolative Distillation for Unifying Biased and DebiasedRecommendation,jinqiu jin,3,2164713563
Interpolative Distillation for Unifying Biased and DebiasedRecommendation,wenjie wang,4,2117833732
Interpolative Distillation for Unifying Biased and DebiasedRecommendation,yong liao,5,2114122035
Interpolative Distillation for Unifying Biased and DebiasedRecommendation,yongdong zhang,6,2164724337
Locality-Sensitive State-Guided Experience Replay Optimization for Sparse-Reward in Online Recommendation,xiaocong chen,0,48283085
Locality-Sensitive State-Guided Experience Replay Optimization for Sparse-Reward in Online Recommendation,lina yao,1,145095579
